GRADO,ASIGNATURA,materia,rama,modulo,idioma,software_libre
"Grado en Comunicación Audiovisual","Patrimonio Audiovisual","Patrimonio Audiovisual","Ciencias Sociales y Jurídicas","Documentación Audiovisual",es,"<p>Para el desarrollo de proyectos de difusión, en forma de canales se usará Telegram</p>&#13;"
"Grado en Comunicación Audiovisual","Derecho de los Medios Audiovisuales  y las Telecomunicaciones","Derecho de los Medios  Audiovisuales y las Telecomunicaciones","Ciencias Sociales y Jurídicas","Economía, Políticas de la Comunicación Audiovisual y Cambio Social",es,
"Grado en Comunicación Audiovisual","Prácticas Externas","Prácticas Externas","Ciencias Sociales y Jurídicas","Prácticas Externas",es,
"Grado en Comunicación Audiovisual","Trabajo Fin de Grado","Trabajo Fin de Grado","Ciencias Sociales y Jurídicas","Trabajo Fin de Grado",es,
"Grado en Comunicación Audiovisual","Fundamentos de la Programación Multimedia y Diseño Web","Fundamentos de la Programación Multimedia y Diseño Web","Ciencias Sociales y Jurídicas","Creación Audiovisual y Nuevos Medios",es,"<p>Mozilla FireFox</p>&#13;&#13;<p>Brackets.io</p>&#13;"
"Grado en Comunicación Audiovisual","El Cine de Animación Digital","El Cine de Animación Digital","Ciencias Sociales y Jurídicas","Creación Audiovisual y Nuevos Medios",es,
"Grado en Comunicación Audiovisual","Sonido y Música para Espectáculos","Sonido y Música para Espectáculos","Ciencias Sociales y Jurídicas","Creación Audiovisual y Nuevos Medios",es,
"Grado en Comunicación Audiovisual","Cibercultura, Videojuegos y Narraciones Interactivas","Cibercultura, Videojuegos y Narraciones Interactivas","Ciencias Sociales y Jurídicas","Creación Audiovisual y Nuevos Medios",es,
"Grado en Comunicación Audiovisual","Creatividad e Innovación Audiovisual","Creatividad e Innovación Audiovisual","Ciencias Sociales y Jurídicas","Creación Audiovisual y Nuevos Medios",es,
"Grado en Comunicación Audiovisual","Dirección de Proyectos en Empresas Audiovisuales","Dirección de Proyectos en Empresas Audiovisuales","Ciencias Sociales y Jurídicas","Industrias Audiovisuales y del Espectáculo",es,
"Grado en Comunicación Audiovisual","Programación Audiovisual y Análisis de Audiencias","Programación Audiovisual y Análisis de Audiencias","Ciencias Sociales y Jurídicas","Industrias Audiovisuales y del Espectáculo",es,
"Grado en Comunicación Audiovisual","Teoría y Análisis del Espectáculo","Teoría y Análisis del Espectáculo","Ciencias Sociales y Jurídicas","Industrias Audiovisuales y del Espectáculo",es,
"Grado en Comunicación Audiovisual","Marketing de los Medios de Comunicación","Marketing de los Medios de Comunicación","Ciencias Sociales y Jurídicas","Industrias Audiovisuales y del Espectáculo",es,
"Grado en Comunicación Audiovisual","Adaptaciones: Transmedialidad y Convergencia de Medios","Adaptaciones: Transmedialidad y Convergencia de Medios","Ciencias Sociales y Jurídicas","Industrias Audiovisuales y del Espectáculo",es,
"Grado en Comunicación Audiovisual","Teoría y Práctica del Documental y el Reportaje","Teoría y Práctica del Documental y el Reportaje","Ciencias Sociales y Jurídicas","Comunicación Audiovisual y Sociedad",es,
"Grado en Comunicación Audiovisual","El Cine Español y sus Imaginarios Socioculturales","El Cine Español y sus Imaginarios Socioculturales","Ciencias Sociales y Jurídicas","Comunicación Audiovisual y Sociedad",es,
"Grado en Comunicación Audiovisual","Cines del Sur","Cines del Sur","Ciencias Sociales y Jurídicas","Comunicación Audiovisual y Sociedad",es,
"Grado en Comunicación Audiovisual","Representación  Audiovisual, Estereotipos Sociales y Marginalidad","Representación Audiovisual, Estereotipos Sociales y Marginalidad","Ciencias Sociales y Jurídicas","Comunicación Audiovisual y Sociedad",es,
"Grado en Comunicación Audiovisual","Producción Audiovisual en Iberoamérica","Producción Audiovisual en Iberoamérica","Ciencias Sociales y Jurídicas","Comunicación Audiovisual y Sociedad",es,
"Grado en Comunicación Audiovisual","Taller de Radio","Taller de Radio","Ciencias Sociales y Jurídicas","Introducción a la Práctica Profesional",es,
"Grado en Conservación y Restauración de Bienes Culturales","Teoría e Historia del Arte",Arte,"Artes y Humanidades","Formación Básica",es,
"Grado en Conservación y Restauración de Bienes Culturales","Principios Básicos del Dibujo","Expresión Artística","Artes y Humanidades","Formación Básica",es,
"Grado en Conservación y Restauración de Bienes Culturales","Principios Básicos de la Escultura","Expresión Artística","Artes y Humanidades","Formación Básica",es,
"Grado en Conservación y Restauración de Bienes Culturales","Principios Básicos de la Pintura","Expresión Artística","Artes y Humanidades","Formación Básica",es,
"Grado en Conservación y Restauración de Bienes Culturales","Naturaleza de los Materiales I","Naturaleza de los Materiales","Artes y Humanidades","Materiales y Técnicas",es,
"Grado en Conservación y Restauración de Bienes Culturales","Sistema de Análisis de la Forma y la Representación",Dibujo,"Artes y Humanidades","Formación Básica",es,
"Grado en Conservación y Restauración de Bienes Culturales","Dibujo: Lenguaje y Materiales",Dibujo,"Artes y Humanidades","Formación Básica",es,
"Grado en Conservación y Restauración de Bienes Culturales","Escultura: Lenguaje y Materiales",Escultura,"Artes y Humanidades","Formación Básica",es,
"Grado en Conservación y Restauración de Bienes Culturales","Pintura: Lenguaje y Materiales",Pintura,"Artes y Humanidades","Formación Básica",es,
"Grado en Conservación y Restauración de Bienes Culturales","Naturaleza de los Materiales II","Naturaleza de los Materiales","Artes y Humanidades","Materiales y Técnicas",es,
"Grado en Conservación y Restauración de Bienes Culturales","Historia del Pensamiento",Historia,"Artes y Humanidades","Formación Básica",es,
"Grado en Conservación y Restauración de Bienes Culturales","Técnicas Artísticas y su Conservación. Piedra, Cerámica y Metales","Técnicas Artísticas y su Conservación","Artes y Humanidades","Materiales y Técnicas",es,
"Grado en Conservación y Restauración de Bienes Culturales","Técnicas Artísticas y su Conservación. Policromías","Técnicas Artísticas y su Conservación","Artes y Humanidades","Materiales y Técnicas",es,
"Grado en Conservación y Restauración de Bienes Culturales","Técnicas Artísticas y su Conservación. Artes Gráficas","Técnicas Artísticas y su Conservación","Artes y Humanidades","Materiales y Técnicas",es,
"Grado en Conservación y Restauración de Bienes Culturales","Documentación Fotográfica",Documentación,"Artes y Humanidades",Documentación,es,
"Grado en Conservación y Restauración de Bienes Culturales","Arte Contemporáneo. Siglos XX-XXI",Arte,"Artes y Humanidades","Formación Básica",es,
"Grado en Conservación y Restauración de Bienes Culturales","Teoría e Historia de la Restauración","Bases para la Documentación","Artes y Humanidades",Documentación,es,
"Grado en Conservación y Restauración de Bienes Culturales","Factores de Deterioro","Factores de Diagnóstico","Artes y Humanidades","Examen y Diagnóstico",es,
"Grado en Conservación y Restauración de Bienes Culturales","Introducción a la Conservación  y Restauración. Pintura Caballete","Tratamientos de Restauración en Soportes Orgánicos con y sin Policromía","Artes y Humanidades","Tratamientos de Restauración",es,
"Grado en Conservación y Restauración de Bienes Culturales","Introducción a la Conservación y Restauración de Escultura","Tratamientos de Restauración en Soportes Orgánicos con y sin Policromía","Artes y Humanidades","Tratamientos de Restauración",es,
"Grado en Conservación y Restauración de Bienes Culturales","Técnicas de Análisis I","Técnicas de Diagnóstico","Artes y Humanidades","Examen y Diagnóstico",es,
"Grado en Conservación y Restauración de Bienes Culturales","Introducción a la Conservación y Restauración de Documento Gráfico","Tratamientos de Restauración en Soportes Orgánicos con y sin Policromía","Artes y Humanidades","Tratamientos de Restauración",es,
"Grado en Conservación y Restauración de Bienes Culturales","Introducción a la Conservación y Restauración de Materiales Pétreos y Revestimientos Murales","Tratamientos de Restauración en Soportes Inorgánicos con y sin Policromía","Artes y Humanidades","Tratamientos de Restauración",es,
"Grado en Conservación y Restauración de Bienes Culturales","Materiales de Restauración","Materiales de Restauración","Artes y Humanidades","Tratamientos de Restauración",es,
"Grado en Conservación y Restauración de Bienes Culturales","Técnicas de Análisis II","Técnicas de Diagnóstico","Artes y Humanidades","Examen y Diagnóstico",es,
"Grado en Conservación y Restauración de Bienes Culturales","Introducción a la Conservación y Restauración de Arqueología","Tratamientos de Restauración en Soportes Inorgánicos con y sin Policromía","Artes y Humanidades","Tratamientos de Restauración",es,
"Grado en Conservación y Restauración de Bienes Culturales","Régimen Jurídico de la Conservación","Bases para la Conservación y Difusión de Bienes Culturales","Artes y Humanidades","Conservación y Difusión de Bienes Culturales",es,
"Grado en Conservación y Restauración de Bienes Culturales","Conservación Preventiva","Conservación y Difusión de Bienes Culturales","Artes y Humanidades","Conservación y Difusión de Bienes Culturales",es,
"Grado en Conservación y Restauración de Bienes Culturales","Proyectos, Metodología y Seguridad","Elaboración de Proyectos, Metodología y Seguridad","Artes y Humanidades","Proyectos y Trabajo Fin de Grado",es,
"Grado en Conservación y Restauración de Bienes Culturales","Trabajo Fin de Grado","Trabajo Fin de Grado","Artes y Humanidades","Proyectos y Trabajo Fin de Grado",es,
"Grado en Conservación y Restauración de Bienes Culturales","Conservación y Restauración de Arqueología I: Cerámica","Procesos de Intervención en Material Arqueológico","Artes y Humanidades","Procesos de Restauración",es,
"Grado en Conservación y Restauración de Bienes Culturales","Conservación y Restauración de Documento Gráfico I: Papel","Procesos de Intervención en Documento Gráfico","Artes y Humanidades","Procesos de Restauración",es,
"Grado en Conservación y Restauración de Bienes Culturales","Conservación y Restauración de Pintura I: Lienzo","Procesos de Intervención en Pintura de Caballete","Artes y Humanidades","Procesos de Restauración",es,
"Grado en Conservación y Restauración de Bienes Culturales","Conservación y Restauración de Pintura Mural","Procesos de Intervención en Materiales Pétreos y Pintura Mural","Artes y Humanidades","Procesos de Restauración",es,
"Grado en Conservación y Restauración de Bienes Culturales","Conservación y Restauración de Escultura I: Madera","Procesos de Intervención en Escultura","Artes y Humanidades","Procesos de Restauración",es,
"Grado en Conservación y Restauración de Bienes Culturales","Técnicas Avanzadas de Restauración Virtual","Procesos de Restauración Virtual","Artes y Humanidades","Procesos de Restauración",es,"<ul>&#13;	<li>Meshlab</li>&#13;	<li>Blender</li>&#13;</ul>&#13;"
"Grado en Conservación y Restauración de Bienes Culturales","Conservación y Restauración de Arqueología II: Metales","Procesos de Intervención en Material Arqueológico","Artes y Humanidades","Procesos de Restauración",es,
"Grado en Conservación y Restauración de Bienes Culturales","Conservación y Restauración de Documento Gráfico II: Libros","Procesos de Intervención en Documento Gráfico","Artes y Humanidades","Procesos de Restauración",es,
"Grado en Conservación y Restauración de Bienes Culturales","Conservación y Restauración de Pintura II: Tabla","Procesos de Intervención en Pintura de Caballete","Artes y Humanidades","Procesos de Restauración",es,
"Grado en Conservación y Restauración de Bienes Culturales","Conservación y Restauración de Materiales Pétreos","Procesos de Intervención en Materiales Pétreos y Pintura Mural","Artes y Humanidades","Procesos de Restauración",es,
"Grado en Conservación y Restauración de Bienes Culturales","Conservación y Restauración de Escultura II: Otros Soportes y Conjuntos Ornamentales","Procesos de Intervención en Escultura","Artes y Humanidades","Procesos de Restauración",es,
"Grado en Conservación y Restauración de Bienes Culturales","Técnicas Digitales de Documentación",Documentación,"Artes y Humanidades",Documentación,es,
"Grado en Conservación y Restauración de Bienes Culturales",Iconografía,"Bases para la Documentación","Artes y Humanidades",Documentación,es,
"Grado en Conservación y Restauración de Bienes Culturales","Historia del Libro y la Encuadernación","Bases para la Documentación","Artes y Humanidades",Documentación,es,
"Grado en Conservación y Restauración de Bienes Culturales","Introducción a la Arqueología","Bases para la Documentación","Artes y Humanidades",Documentación,es,
"Grado en Conservación y Restauración de Bienes Culturales","Gestión del Patrimonio: Metodología y Planes para la Difusión","Bases para la Conservación y Difusión de Bienes Culturales","Artes y Humanidades","Conservación y Difusión de Bienes Culturales",es,
